trace_id,buggy_line,ground_truth,context_match
gcd,2.0,5,No
find_in_sorted,11.0,9,No
get_factors,3.0,10,No
depth_first_search,10.0,10,Yes
to_base,7.0,9,No
pascal,7.0,6,No
detect_cycle_test,17.0,63,No
find_first_in_sorted,11.0,5,No
hanoi,4.0,6,No
lcs_length,8.0,9,No
topological_ordering,7.0,6,No
bucketsort,4.0,7,No
max_sublist_sum,8.0,7,No
shortest_path_lengths,11.0,13,No
mergesort,17.0,17,Yes
breadth_first_search,17.0,11,No
shunting_yard,16.0,18,No
quicksort,2.0,7,No
shortest_paths,10.0,10,Yes
rpn_eval,19.0,20,No
minimum_spanning_tree,8.0,12,No
sqrt,4.0,4,Yes
reverse_linked_list,6.0,6,Yes
levenshtein,2.0,6,No
detect_cycle,11.0,5,No
flatten,7.0,7,Yes
knapsack,12.0,12,Yes
subsequences,2.0,3,No
next_permutation,4.0,6,No
longest_common_subsequence,2.0,6,No
sieve,4.0,4,Yes
bitcount,5.0,5,Yes
shortest_path_length_test,45.0,48,No
is_valid_parenthesization,9.0,12,No
wrap,5.0,10,No
kth,11.0,12,No
lis,10.0,14,No
next_palindrome,11.0,15,No
kheapsort,10.0,7,No
shortest_path_length,10.0,22,No
possible_change,9.0,1,No
powerset,3.0,4,No
